epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.16772,3.35213,4.41311,2.6066,0,0,0,0,3.20496,4.78997,2.91298,0,0,0
2,2.13923,2.65225,4.05303,2.49029,0,0,0,0,3.17391,5.01899,2.85953,1.63399e-05,1.63399e-05,1.63399e-05
3,3.24909,3.09427,4.23238,2.68354,0,0,0,0,3.05552,5.24882,2.77569,3.20197e-05,3.20197e-05,3.20197e-05
4,4.32469,2.83599,4.05315,2.54245,0,0,0,0,2.77671,5.55884,2.64828,4.70394e-05,4.70394e-05,4.70394e-05
5,5.38325,3.10741,4.01749,2.73565,0,0,0,0,2.62833,5.54471,2.56919,6.13989e-05,6.13989e-05,6.13989e-05
6,205.996,3.33561,4.17397,2.73182,0,0,0,0,2.47182,5.44929,2.51392,7.50984e-05,7.50984e-05,7.50984e-05
7,207.146,2.88998,3.98266,2.5444,0,0,0,0,2.3971,6.02831,2.50077,8.81376e-05,8.81376e-05,8.81376e-05
8,208.137,2.98187,4.21674,2.65606,0,0,0,0,2.66813,5.11294,2.62063,0.000100517,0.000100517,0.000100517
9,209.159,2.92199,4.1906,2.56598,0,0,0,0,2.6193,5.1457,2.61587,0.000112236,0.000112236,0.000112236
10,210.282,2.79721,4.00124,2.50047,0,0,0,0,2.57774,5.3156,2.63435,0.000123295,0.000123295,0.000123295
11,211.289,2.66113,3.73269,2.28702,0,0,0,0,2.55465,5.3407,2.65585,0.000133693,0.000133693,0.000133693
12,212.403,2.6485,4.20126,2.27213,0,0,0,0,2.59601,5.32984,2.65067,0.000143432,0.000143432,0.000143432
13,213.649,2.4922,3.83181,2.21565,0,0,0,0,2.67205,5.27673,2.59594,0.00015251,0.00015251,0.00015251
14,214.84,2.198,3.51655,2.06762,0.00645,1,0.09045,0.00905,2.68667,5.27133,2.57868,0.000160929,0.000160929,0.000160929
15,215.864,2.22496,3.98787,2.085,0.00649,1,0.0995,0.00995,2.64952,5.291,2.54408,0.000168687,0.000168687,0.000168687
16,217.03,2.11123,3.66057,1.90006,0.00637,1,0.12437,0.01244,2.67358,5.05003,2.43212,0.000175785,0.000175785,0.000175785
17,218.053,2.26874,3.69107,2.00115,0.00662,1,0.0995,0.0199,2.65663,4.80753,2.35552,0.000182223,0.000182223,0.000182223
